id,value
HWANG,19.6452462343
GETACHEW,57.3162242013
HAILEMARIAM,89.4207954142
RUSSEL,19.6865131689
TINIE,40.7674083603
YANG,56.0992079692
HWANG,77.3635265802
GETACHEW,57.3162242013
HAILEMARIAM,89.4207954142
RUSSEL,30.3017545888
TINIE,40.7674083603
YANG,31.1657809505
HWANG,19.5247977426
GETACHEW,57.3162242013
HAILEMARIAM,89.4207954142
RUSSEL,60.6147249855
TINIE,40.7674083603
YANG,32.20940257
HWANG,24.8567209666
SPIELBERG,28.3936555327
GETACHEW,57.3162242013
HAILEMARIAM,89.4207954142
RUSSEL,6.83158809934
TINIE,40.7674083603
YANG,83.8587094075
MA,67.706376946
HWANG,31.6140556085
SPIELBERG,28.3936555327
GETACHEW,57.3162242013
HAILEMARIAM,89.4207954142
RUSSEL,51.9625777386
TINIE,40.7674083603
YANG,83.2672533633
MA,13.1573032795
HWANG,42.5479686051
SPIELBERG,28.3936555327
GETACHEW,57.3162242013
HAILEMARIAM,89.4207954142
RUSSEL,48.6791062059
TINIE,40.7674083603
YANG,39.5194659975
MA,64.0633434713
HWANG,38.6657284719
SPIELBERG,28.3936555327
GETACHEW,57.3162242013
HAILEMARIAM,89.4207954142
RUSSEL,46.8813568927
TINIE,40.7674083603
YANG,76.890669695
MA,0.211154996291
HWANG,6.15271747251
SPIELBERG,28.3936555327
GETACHEW,57.3162242013
HAILEMARIAM,89.4207954142
RUSSEL,77.0211477566
TINIE,40.7674083603
YANG,97.1749902879
MA,99.6202195279
HWANG,82.6244093592
SPIELBERG,28.3936555327
GETACHEW,57.3162242013
HAILEMARIAM,89.4207954142
RUSSEL,84.7444963076
TINIE,40.7674083603
YANG,5.29836668179
MA,18.0325718253
HWANG,36.7887240849
SPIELBERG,28.3936555327
GETACHEW,57.3162242013
HAILEMARIAM,89.4207954142
RUSSEL,35.2692716678
TINIE,40.7674083603
YANG,31.4466128134
MA,61.9007992126
HWANG,75.3487466769
SPIELBERG,28.3936555327
GETACHEW,57.3162242013
HAILEMARIAM,89.4207954142
RUSSEL,72.4752647686
TINIE,40.7674083603
YANG,14.5529090825
MA,20.8793755302
HWANG,20.7234466252
SPIELBERG,28.3936555327
GETACHEW,57.3162242013
HAILEMARIAM,89.4207954142
RUSSEL,38.5722925501
TINIE,40.7674083603
YANG,57.5052555621
MA,14.6968132304
HWANG,15.4056719061
SPIELBERG,28.3936555327
GETACHEW,57.3162242013
HAILEMARIAM,89.4207954142
RUSSEL,26.7022811513
TINIE,40.7674083603
YANG,13.410011689
MA,30.8499100486
HWANG,38.4914641351
SPIELBERG,28.3936555327
GETACHEW,57.3162242013
HAILEMARIAM,89.4207954142
RUSSEL,68.3281097015
TINIE,40.7674083603
YANG,66.4628101257
MA,91.3914865556
HWANG,56.930932599
SPIELBERG,28.3936555327
GETACHEW,57.3162242013
HAILEMARIAM,89.4207954142
RUSSEL,22.2585721107
TINIE,40.7674083603
YANG,98.1857342047
MA,98.5062156851
HWANG,71.2772104683
SPIELBERG,28.3936555327
GETACHEW,57.3162242013
HAILEMARIAM,89.4207954142
RUSSEL,87.0168905119
TINIE,40.7674083603
YANG,64.1770737012
MA,94.0552062214
HWANG,58.8811816395
SPIELBERG,28.3936555327
GETACHEW,57.3162242013
SONE,54.6160859318
HAILEMARIAM,89.4207954142
RUSSEL,95.3959211913
TINIE,40.7674083603
YANG,86.8984758
MA,72.4141173944
HWANG,1.03577614631
SPIELBERG,28.3936555327
GETACHEW,57.3162242013
SONE,54.6160859318
HAILEMARIAM,89.4207954142
RUSSEL,57.8526895593
TINIE,40.7674083603
YANG,14.0626878491
MA,99.0556230557
HWANG,80.9791551193
SPIELBERG,28.3936555327
GETACHEW,57.3162242013
SONE,54.6160859318
HAILEMARIAM,89.4207954142
RUSSEL,60.5081036011
TINIE,40.7674083603
YANG,39.1233384066
MA,68.3396532431
HWANG,15.043327235
SPIELBERG,28.3936555327
GETACHEW,57.3162242013
SONE,54.6160859318
HAILEMARIAM,89.4207954142
RUSSEL,53.095083404
TINIE,40.7674083603
YANG,14.3882932153
MA,11.0824924022
HWANG,72.9521320415
SPIELBERG,28.3936555327
GETACHEW,57.3162242013
SONE,54.6160859318
HAILEMARIAM,89.4207954142
RUSSEL,23.6011227643
TINIE,40.7674083603
YANG,75.894310298
MA,15.2231936443
HWANG,6.19406221344
SPIELBERG,28.3936555327
GETACHEW,57.3162242013
SONE,54.6160859318
HAILEMARIAM,89.4207954142
RUSSEL,23.7146494554
TINIE,40.7674083603
YANG,34.7197897662
MA,43.8187448595
HWANG,77.4408494565
SPIELBERG,28.3936555327
GETACHEW,57.3162242013
SONE,54.6160859318
